код,Гаалийн газар хорооны код,Гаалийн газар хорооны нэр,Төрөл,Он,Сар,Дүн
291,10,Орхон аймаг дахь ГГ,Өөрийн орлого,2024,5,5.8
292,13,Дархан-Уул аймаг дахь ГГ,Өөрийн орлого,2024,5,3.33
293,6,Дорнод аймаг дахь ГГ,Өөрийн орлого,2024,5,22
294,9,Увс аймаг дахь ГГ,Өөрийн орлого,2024,5,1.3
295,12,Улс хоорондын шуудан илгээмж дэх ГХ,Өөрийн орлого,2024,5,45
296,17,Говь-Алтай аймгийн Бургастай дахь ГХ,Өөрийн орлого,2024,5,0
297,16,Сүхбаатар аймгийн Бичигт дэх ГХ,Өөрийн орлого,2024,5,3
298,19,Хөвсгөл аймгийн Ханх дахь ГХ,Өөрийн орлого,2024,5,1.05
299,18,Завхан аймгийн Арцсуурь дахь ГХ,Өөрийн орлого,2024,5,4.89
300,20,Ханги дахь гаалийн газар,Өөрийн орлого,2024,5,6.5
301,1,ГЕГазар,Татвар,2024,6,45.44
302,2,Улаанбаатар хот дахь ГГ,Татвар,2024,6,179262.81
303,3,Замын-Үүд дэх ГГ,Татвар,2024,6,118213.24
304,5,Чингис хаан ОУНБ ГГ,Татвар,2024,6,5454.53
305,4,Сэлэнгэ аймаг дахь ГГ,Татвар,2024,6,18536.88
306,14,Гашуунсухайт дахь ГГ,Татвар,2024,6,26694.58
307,15,Шивээхүрэн дэх ГГ,Татвар,2024,6,14307.58
308,11,Сайншанд дахь ГГ,Татвар,2024,6,20508.01
309,8,Ховд аймгийн Булган дахь ГГ,Татвар,2024,6,5913.14
310,7,Баян-Өлгий аймаг дахь ГГ,Татвар,2024,6,2115.02
311,10,Орхон аймаг дахь ГГ,Татвар,2024,6,552.32
312,13,Дархан-Уул аймаг дахь ГГ,Татвар,2024,6,7336.32
313,6,Дорнод аймаг дахь ГГ,Татвар,2024,6,3494.32
314,9,Увс аймаг дахь ГГ,Татвар,2024,6,1496.91
315,12,Улс хоорондын шуудан илгээмж дэх ГХ,Татвар,2024,6,2700.39
316,17,Говь-Алтай аймгийн Бургастай дахь ГХ,Татвар,2024,6,18.98
317,16,Сүхбаатар аймгийн Бичигт дэх ГХ,Татвар,2024,6,3867.45
318,19,Хөвсгөл аймгийн Ханх дахь ГХ,Татвар,2024,6,99
319,18,Завхан аймгийн Арцсуурь дахь ГХ,Татвар,2024,6,32.18
320,20,Ханги дахь гаалийн газар,Татвар,2024,6,2418.59
321,1,ГЕГазар,Хураамж,2024,6,0.31
322,2,Улаанбаатар хот дахь ГГ,Хураамж,2024,6,210.8
323,3,Замын-Үүд дэх ГГ,Хураамж,2024,6,180.7
324,5,Чингис хаан ОУНБ ГГ,Хураамж,2024,6,9.28
325,4,Сэлэнгэ аймаг дахь ГГ,Хураамж,2024,6,20.94
326,14,Гашуунсухайт дахь ГГ,Хураамж,2024,6,7325.59
327,15,Шивээхүрэн дэх ГГ,Хураамж,2024,6,2910.64
328,11,Сайншанд дахь ГГ,Хураамж,2024,6,507.57
329,8,Ховд аймгийн Булган дахь ГГ,Хураамж,2024,6,550
330,7,Баян-Өлгий аймаг дахь ГГ,Хураамж,2024,6,7.49
331,10,Орхон аймаг дахь ГГ,Хураамж,2024,6,61.07
332,13,Дархан-Уул аймаг дахь ГГ,Хураамж,2024,6,520.69
333,6,Дорнод аймаг дахь ГГ,Хураамж,2024,6,17.41
334,9,Увс аймаг дахь ГГ,Хураамж,2024,6,1.63
335,12,Улс хоорондын шуудан илгээмж дэх ГХ,Хураамж,2024,6,18
336,17,Говь-Алтай аймгийн Бургастай дахь ГХ,Хураамж,2024,6,9.61
337,16,Сүхбаатар аймгийн Бичигт дэх ГХ,Хураамж,2024,6,394.03
338,19,Хөвсгөл аймгийн Ханх дахь ГХ,Хураамж,2024,6,0.03
339,18,Завхан аймгийн Арцсуурь дахь ГХ,Хураамж,2024,6,0
340,20,Ханги дахь гаалийн газар,Хураамж,2024,6,348.54
341,1,ГЕГазар,Өөрийн орлого,2024,6,482.14
342,2,Улаанбаатар хот дахь ГГ,Өөрийн орлого,2024,6,246.42
343,3,Замын-Үүд дэх ГГ,Өөрийн орлого,2024,6,218.54
344,5,Чингис хаан ОУНБ ГГ,Өөрийн орлого,2024,6,139.56
345,4,Сэлэнгэ аймаг дахь ГГ,Өөрийн орлого,2024,6,21
346,14,Гашуунсухайт дахь ГГ,Өөрийн орлого,2024,6,139.49
347,15,Шивээхүрэн дэх ГГ,Өөрийн орлого,2024,6,25.96
348,11,Сайншанд дахь ГГ,Өөрийн орлого,2024,6,72.83
349,8,Ховд аймгийн Булган дахь ГГ,Өөрийн орлого,2024,6,5.4
350,7,Баян-Өлгий аймаг дахь ГГ,Өөрийн орлого,2024,6,21
351,10,Орхон аймаг дахь ГГ,Өөрийн орлого,2024,6,3.9
352,13,Дархан-Уул аймаг дахь ГГ,Өөрийн орлого,2024,6,5.28
